City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
458,Black,COMPLETED,2021-01-13 22:06:46 +0000 UTC,2021-01-13 22:11:10 +0000 UTC,-23.599752,-46.715954,2021-01-13 22:29:13 +0000 UTC,-23.559359,-46.666542,4.84,29.63,BRL
458,VIP,COMPLETED,2021-01-13 20:21:05 +0000 UTC,2021-01-13 20:27:29 +0000 UTC,-23.559298,-46.666454,2021-01-13 20:54:50 +0000 UTC,-23.599585,-46.715717,5.31,20.86,BRL
458,VIP,COMPLETED,2021-01-03 00:23:22 +0000 UTC,2021-01-03 00:33:00 +0000 UTC,-23.626593,-46.65941,2021-01-03 00:50:56 +0000 UTC,-23.559273,-46.666595,5.9,34.23,BRL
458,VIP,COMPLETED,2020-12-11 23:16:33 +0000 UTC,2020-12-11 23:27:32 +0000 UTC,-23.55941,-46.666435,2020-12-12 00:32:47 +0000 UTC,-23.425755,-46.48119,19.74,58.77,BRL
458,VIP,COMPLETED,2020-12-11 00:35:46 +0000 UTC,2020-12-11 00:46:46 +0000 UTC,-23.584846,-46.66359,2020-12-11 00:57:57 +0000 UTC,-23.559261,-46.66651,2.54,12.63,BRL
458,VIP,COMPLETED,2020-12-10 11:42:15 +0000 UTC,2020-12-10 11:46:20 +0000 UTC,-23.559372,-46.666473,2020-12-10 12:06:15 +0000 UTC,-23.6245,-46.701077,6.17,21.25,BRL
458,Black,COMPLETED,2020-12-10 01:34:25 +0000 UTC,2020-12-10 01:42:28 +0000 UTC,-23.624605,-46.70098,2020-12-10 02:01:57 +0000 UTC,-23.559233,-46.666546,5.6,36,BRL
458,UberX,COMPLETED,2020-12-07 23:48:41 +0000 UTC,2020-12-07 23:57:30 +0000 UTC,-23.627161,-46.66419,2020-12-08 00:18:11 +0000 UTC,-23.559366,-46.666637,6.71,33.22,BRL
458,VIP,CANCELED,2020-12-04 22:11:42 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.54538,-46.648098,1970-01-01 00:00:00 +0000 UTC,-23.55216157,-46.63645434,0,0,BRL
458,UberX,COMPLETED,2020-12-04 21:48:04 +0000 UTC,2020-12-04 21:56:13 +0000 UTC,-23.559399,-46.66647,2020-12-04 22:05:42 +0000 UTC,-23.54775,-46.644104,1.83,11.52,BRL
458,VIP,CANCELED,2020-12-04 21:46:05 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.56971,-46.6651,1970-01-01 00:00:00 +0000 UTC,-23.56932402,-46.6655798,0,0,BRL
458,VIP,CANCELED,2020-12-04 21:44:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.570309,-46.662003,1970-01-01 00:00:00 +0000 UTC,-23.56988096,-46.66156781,0,0,BRL
458,VIP,COMPLETED,2020-12-04 16:38:39 +0000 UTC,2020-12-04 16:43:51 +0000 UTC,-23.567642,-46.66386,2020-12-04 16:52:58 +0000 UTC,-23.559292,-46.66655,1.2,7.49,BRL
458,VIP,COMPLETED,2020-12-04 15:13:11 +0000 UTC,2020-12-04 15:15:48 +0000 UTC,-23.55933,-46.666496,2020-12-04 15:24:13 +0000 UTC,-23.567545,-46.66403,0.83,7.4,BRL
458,VIP,COMPLETED,2020-12-04 12:00:59 +0000 UTC,2020-12-04 12:04:14 +0000 UTC,-23.566143,-46.67532,2020-12-04 12:10:55 +0000 UTC,-23.559343,-46.666496,1.42,7.4,BRL
458,VIP,COMPLETED,2020-12-04 10:41:21 +0000 UTC,2020-12-04 10:45:06 +0000 UTC,-23.559284,-46.66658,2020-12-04 10:49:45 +0000 UTC,-23.566214,-46.675385,0.79,7.31,BRL
458,VIP,COMPLETED,2020-11-30 11:02:06 +0000 UTC,2020-11-30 11:05:57 +0000 UTC,-23.55935,-46.666542,2020-11-30 11:12:33 +0000 UTC,-23.56196,-46.65819,0.92,6.42,BRL
458,VIP,CANCELED,2020-11-30 10:57:13 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.558155,-46.662205,1970-01-01 00:00:00 +0000 UTC,-23.56426764,-46.65525889,0,0,BRL
458,VIP,COMPLETED,2020-11-04 16:01:28 +0000 UTC,2020-11-04 16:06:02 +0000 UTC,-23.61526,-46.704556,2020-11-04 16:11:19 +0000 UTC,-23.624607,-46.701088,1.45,6.76,BRL
